3.93.00x4eca99L,3.86.00x8132690L,1
2.21.00x545004L,2.22.00x5aca58L,-1
3.51.00x83fe4L,3.40.00x498d00L,1
2.0.00x19362cL,2.10.00x120d98L,-1
3.4.00x5740e4L,3.43.00x532e80L,1
2.10.00x8611cL,2.9.00xdf880L,-1
3.59.00x13ee4cL,3.40.00x565638L,1
2.3.00x88de0L,2.19.00x54a6e0L,-1
3.45.00x4bf7e6L,3.10.00xc9830L,1
2.18.00x5f75bcL,2.8.00x1283b4L,-1
3.4.00x53c118L,3.88.00x51bddbL,1
2.16.00x564628L,2.21.00x4b9f78L,-1
3.8.00x158584L,3.85.00x810f3a4L,1
3.39.00x812ee80L,2.8.00xf287cL,-1
3.56.00x193ab8L,3.7.00x52ee80L,1
2.19.00x60645cL,2.17.00x4ff0e4L,-1
2.19.00x468418L,2.18.00x468418L,1
2.8.00x109e20L,3.34.00x814b050L,-1
3.17.00x52815cL,3.49.00xd465cL,1
2.0.00xf7df0L,2.16.00x5a0b0cL,-1
3.39.00x8142d70L,3.89.00x4ff120L,1
3.2.00xe4a9cL,2.1.00x10a72cL,-1
3.83.00x80a0d80L,3.89.00x45b1f0L,1
2.1.00xdbe48L,2.3.00xe8494L,-1
3.47.00x4f0eb0L,3.2.00xd0e5cL,1
2.23.00x4d8d20L,2.21.00x5b6234L,-1
3.21.00x4e265cL,3.90.00x491760L,1
3.45.00x52e387L,3.21.00x5ba458L,-1
2.17.00x4a124cL,2.21.00x4a124cL,1
2.19.00x581508L,2.23.00x548ca4L,-1
3.13.00x4464fcL,3.18.00x475bc4L,1
3.42.00x4c97e0L,2.2.00x8079cL,-1
3.47.00x523780L,3.59.00x120694L,1
2.2.00x98c88L,2.3.00x4123cL,-1
3.86.00x8134aa0L,3.43.00x52be30L,1
2.19.00x4bc5b8L,2.21.00x586b28L,-1
3.83.00x80c0fd0L,3.91.00x47bce0L,1
2.0.00x2ff7cL,3.87.00x8118210L,-1
2.22.00x446090L,2.23.00x446090L,1
2.20.00x5fb3b8L,3.32.00x804ffffL,-1
3.44.00x512497L,3.94.00x4c6e50L,1
2.1.00x53064L,2.1.00xc6c64L,-1
2.19.00x4e68fcL,2.18.00x4e68fcL,1
2.16.00x5f89e8L,2.16.00x448890L,-1
3.93.00x4e1712L,3.88.00x537921L,1
2.9.00xdd440L,2.11.00xcbe20L,-1
3.2.00xee618L,3.44.00x53e06aL,1
2.16.00x54f288L,2.18.00x5756a4L,-1
3.8.00xc0ef8L,3.34.00x80c4c80L,1
3.14.00x4c8818L,2.16.00x5a8e10L,-1
3.82.00x8106140L,3.34.00x8107e30L,1
2.21.00x570670L,2.11.00x1a0af4L,-1
3.45.00x516c73L,3.57.00x12b8a0L,1
2.23.00x522d2cL,2.20.00x4618b0L,-1
3.10.00x14314L,3.94.00x404fb0L,1
2.22.00x5daad8L,2.19.00x5e6e7cL,-1
3.20.00x61d394L,3.93.00x4f0e50L,1
2.23.00x462a88L,2.2.00x4d2a0L,-1
3.41.00x4800afL,3.2.00x843bcL,1
2.8.00x12b920L,2.20.00x4a2eb0L,-1
3.58.00x81984L,3.4.00x4aaaecL,1
2.9.00xc4054L,2.11.00x395acL,-1
3.8.00x1c3f78L,3.49.00x126034L,1
2.22.00x588318L,2.17.00x4c8b60L,-1
3.21.00x5feb14L,3.38.00x8198760L,1
2.3.00x164ef4L,3.58.00xbe46cL,-1
3.89.00x4baec0L,3.2.00xae2c4L,1
2.16.00x68fc8cL,2.2.00x799d0L,-1
3.57.00x98518L,3.50.00x923c8L,1
2.20.00x5a2184L,3.10.00x82b84L,-1
3.8.00x1fc694L,3.57.00x1492d4L,1
2.21.00x5f49bcL,2.2.00x155338L,-1
3.18.00x4b68dcL,3.82.00x80c6b00L,1
2.22.00x4a7390L,2.22.00x567594L,-1
3.95.00x57b590L,3.80.00x81aca5aL,1
2.0.00x2b888L,3.38.00x8146460L,-1
3.3.00x19b4dcL,3.58.00x156664L,1
2.9.00xad174L,2.9.00x112654L,-1
3.59.00xefb24L,3.80.00x812e9e7L,1
2.0.00x7eef0L,2.21.00x5cf12cL,-1
2.19.00x440460L,2.18.00x440460L,1
2.9.00xd646cL,2.1.00x19f9b8L,-1
2.22.00x49fadcL,2.23.00x49fadcL,1
3.15.00x4b8ae8L,2.2.00x108fecL,-1
2.18.00x4442d0L,2.17.00x4442d0L,1
2.23.00x4af528L,2.18.00x571a18L,-1
2.19.00x4a113cL,2.18.00x4a113cL,1
2.19.00x5197b8L,3.80.00x818e2c6L,-1
3.89.00x4cd9d0L,3.90.00x4b3e10L,1
2.3.00x1986cL,2.20.00x4abcb0L,-1
3.8.00x17a474L,3.22.00x53b53cL,1
2.9.00x17574L,2.0.00xdf694L,-1
3.13.00x426320L,3.82.00x806fd90L,1
2.19.00x5fe754L,2.11.00x9a5acL,-1
2.23.00x4d1cf4L,2.22.00x4d1cf4L,1
2.8.00xc2bf4L,3.44.00x454041L,-1
2.21.00x459930L,2.22.00x459930L,1
2.9.00x6ba54L,2.9.00x15d34L,-1
3.6.00x531200L,3.82.00x8181060L,1
2.16.00x5d4108L,2.18.00x5ef144L,-1
3.87.00x8131100L,3.59.00xf411cL,1
2.17.00x4f2520L,2.0.00x16c858L,-1
2.18.00x4e9b50L,2.19.00x4e9b50L,1
2.2.00xdbd3cL,2.19.00x5a19ecL,-1
3.23.00x5855b0L,3.11.00x126308L,1
2.3.00x3659cL,3.11.00x6781cL,-1
3.35.00x814c360L,3.33.00x811b57cL,1
3.14.00x475a78L,3.17.00x4d0ca0L,-1
3.3.00x122e6cL,3.91.00x5224b0L,1
2.10.00x15b3b8L,2.10.00x19d02cL,-1
2.18.00x4a658cL,2.19.00x4a658cL,1
2.20.00x54bf20L,2.11.00x70d64L,-1
3.47.00x4d3b00L,3.12.00x51537cL,1
3.11.00x1220b4L,2.20.00x616018L,-1
3.46.00x53d500L,3.94.00x53ce90L,1
2.9.00x263b0L,2.16.00x461fe0L,-1
2.11.00x115a0L,2.10.00x115a0L,1
2.0.00xf6ac0L,2.3.00x545f4L,-1
2.10.00x128278L,2.8.00x128278L,1
2.20.00x608764L,2.20.00x684a40L,-1
2.17.00x49f8e0L,2.21.00x49f8e0L,1
2.19.00x5015e4L,3.50.00x14a550L,-1
3.83.00x815e300L,3.7.00x51dfe4L,1
2.2.00x1424b0L,2.10.00x1a5a0L,-1
3.33.00x8094323L,3.35.00x8095a50L,1
2.2.00x7fe70L,2.18.00x445cb0L,-1
3.59.00x7f580L,3.95.00x47ad90L,1
2.16.00x57716cL,2.16.00x53fa1cL,-1
3.86.00x80ebd20L,3.44.00x4ee74dL,1
2.19.00x5e73d8L,2.20.00x574784L,-1
3.3.00x18c89cL,3.80.00x81c29ffL,1
2.0.00x17cea8L,3.39.00x8108130L,-1
3.14.00x4c6fe8L,3.4.00x5443dcL,1
2.19.00x5f2eccL,2.11.00x5ad40L,-1
3.40.00x57a734L,3.21.00x5a38e4L,1
2.20.00x5985b8L,2.0.00x1c4e50L,-1
2.2.00xda3a8L,2.0.00xda3a8L,1
2.9.00x3b05cL,2.9.00x521e8L,-1
3.57.00x7f8e0L,3.1.00x82100L,1
2.9.00x6bc4cL,2.0.00x192368L,-1
2.16.00x4395d0L,2.19.00x4395d0L,1
2.16.00x661e94L,2.8.00x18f21cL,-1
2.18.00x4f88c4L,2.19.00x4f88c4L,1
2.18.00x5cb4f8L,2.18.00x5ad0ecL,-1
3.10.00x7ab8cL,3.83.00x80c2a30L,1
2.3.00x133760L,2.17.00x595dc0L,-1
3.38.00x812a4f0L,3.8.00x17b824L,1
3.19.00x5aa7f8L,2.3.00x170c8cL,-1
3.7.00x4ff134L,3.32.00x8148301L,1
2.22.00x5dfe40L,2.22.00x545b44L,-1
3.87.00x80d8450L,3.44.00x4ac542L,1
2.20.00x579e70L,2.10.00x67f58L,-1
3.49.00x1cd38L,3.11.00x1d9fcL,1
2.16.00x4b62e4L,2.17.00x6049dcL,-1
3.58.00x6e82cL,3.90.00x467e10L,1
3.51.00x81a38L,2.21.00x52ef9cL,-1
3.44.00x5a4770L,3.49.00x145594L,1
2.8.00x5c2e0L,2.11.00x54ba0L,-1
3.43.00x48a7e0L,3.39.00x80d0120L,1
2.0.00x18d094L,2.9.00xdeb34L,-1
2.17.00x481b80L,2.21.00x481b80L,1
2.0.00x40ab4L,2.0.00x4570cL,-1
3.6.00x4e3924L,3.2.00xf527cL,1
2.8.00x20244L,2.9.00x60fe4L,-1
2.22.00x4458e0L,2.23.00x4458e0L,1
2.11.00x6b4c4L,2.11.00x10e10L,-1
3.0.00x1889e8L,3.92.00x54857bL,1
2.1.00xd1c08L,3.48.00xb9f64L,-1
3.42.00x5383b0L,3.22.00x5a4f5cL,1
2.18.00x5db978L,2.9.00x126400L,-1
3.91.00x4e1c90L,3.89.00x4e1c90L,1
2.0.00xdbf3cL,2.9.00x18974L,-1
3.89.00x54e810L,3.42.00x514a30L,1
2.23.00x528b08L,2.10.00x79c60L,-1
3.14.00x4f7758L,3.35.00x8182120L,1
2.2.00x16484cL,2.8.00x18d74L,-1
3.87.00x80bde10L,3.23.00x4acda4L,1
2.20.00x64cd78L,3.2.00xbcd3cL,-1
3.93.00x4beca4L,3.46.00x4c2110L,1
2.20.00x5d646cL,3.36.00x8138218L,-1
3.7.00x47196cL,3.48.00xaa350L,1
2.22.00x52df64L,2.16.00x64674cL,-1
2.1.00x10264L,2.2.00x10264L,1
2.23.00x5fcbc8L,2.8.00x14c050L,-1
3.10.00x116aa0L,3.95.00x5517c0L,1
2.19.00x51d4c4L,2.10.00x1320c0L,-1
3.81.00x812501fL,3.41.00x4e4988L,1
2.16.00x52bc28L,2.18.00x56af28L,-1
2.23.00x4df8b8L,2.22.00x4df8b8L,1
2.10.00x583fcL,2.0.00x8aa2cL,-1
2.20.00x5de2e8L,2.16.00x5de2e8L,1
2.17.00x4b0b90L,2.9.00x19d348L,-1
3.7.00x5301d4L,3.38.00x813c120L,1
2.16.00x476ba0L,2.23.00x5ed088L,-1
3.23.00x59e4d0L,3.47.00x537e10L,1
2.0.00x1d53fcL,2.21.00x587758L,-1
3.6.00x53edd8L,3.42.00x54c8a0L,1
2.21.00x56f91cL,2.10.00x16cbcL,-1
3.14.00x465eb8L,3.56.00xa8490L,1
2.16.00x5198ecL,2.0.00x137984L,-1
3.10.00x10deecL,3.46.00x50aa70L,1
2.1.00x105110L,2.20.00x4a28acL,-1
3.18.00x58f9d0L,3.82.00x81695c0L,1
2.10.00x313f4L,2.8.00x197094L,-1
3.21.00x58add0L,3.87.00x8181ac0L,1
2.23.00x4ffbfcL,2.3.00x4fda4L,-1
3.11.00xbb7bcL,3.59.00xb89b8L,1
2.23.00x5e0c14L,2.1.00x158d80L,-1
2.10.00x10d00L,2.11.00x10d00L,1
2.21.00x59bf98L,3.1.00x8c0f8L,-1
3.56.00xa193cL,3.59.00x79c90L,1
2.16.00x53399cL,2.9.00x12109cL,-1
3.40.00x565edfL,3.48.00x1a8c7cL,1
2.1.00x158c38L,2.19.00x526cf0L,-1
3.94.00x4f5a90L,3.41.00x4f1e54L,1
2.10.00x127fa8L,2.8.00x3d6f4L,-1
2.22.00x4f6cdcL,2.23.00x4f6cdcL,1
3.7.00x456bf4L,3.44.00x4f8c70L,-1
3.59.00x1968b0L,3.91.00x59d940L,1
3.45.00x4b5e7fL,2.3.00x9a220L,-1
2.2.00xd031cL,2.9.00xd031cL,1
2.8.00x1d0160L,2.17.00x57ab10L,-1
3.47.00x4f56e0L,3.81.00x810add5L,1
2.11.00xef8f4L,3.38.00x806faa0L,-1
3.46.00x4bdea0L,3.93.00x4bafe7L,1
2.18.00x5471e8L,2.17.00x5465ecL,-1
3.22.00x548ac0L,3.13.00x4e79a8L,1
2.2.00xdabc0L,2.16.00x5cacf4L,-1
3.9.00x114e48L,3.56.00x1a9658L,1
2.2.00x1ce94L,2.8.00xb68ccL,-1
2.18.00x440804L,2.19.00x440804L,1
2.0.00x91accL,2.17.00x5016b4L,-1
2.22.00x4a70b0L,2.19.00x4a70b0L,1
2.10.00x120dccL,3.93.00x5408c0L,-1
3.21.00x5294dcL,3.16.00x5b1a20L,1
3.91.00x50f780L,2.3.00x165d68L,-1
3.3.00x419b4L,3.33.00x807a610L,1
2.21.00x56bbacL,3.14.00x4efe64L,-1
3.3.00x7df90L,3.87.00x80bc9f0L,1
2.18.00x5db8bcL,2.2.00x102d88L,-1
2.19.00x4b0bf0L,2.18.00x4b0bf0L,1
2.11.00x9e1acL,2.3.00xae518L,-1
3.36.00x81704deL,3.41.00x4f9bc7L,1
2.8.00x57b84L,2.9.00x19262cL,-1
3.43.00x4c37a0L,3.80.00x810cda4L,1
2.10.00x29b04L,2.20.00x445bd0L,-1
3.32.00x819562aL,3.20.00x67dd70L,1
2.21.00x4b7a78L,2.16.00x613c34L,-1
3.43.00x52f070L,3.11.00x12fb58L,1
2.19.00x5bc528L,2.16.00x501694L,-1
3.44.00x43a14dL,3.86.00x8077860L,1
2.23.00x548ffcL,2.0.00x14e50L,-1
3.16.00x64679cL,3.48.00x1ae0d0L,1
2.20.00x679a10L,2.2.00x39fe4L,-1
3.49.00x164ea8L,3.3.00x19b4b4L,1
