3.19.00x5de140L,3.8.00x1d9a94L,1
2.17.00x5e2650L,2.19.00x56e5b8L,-1
3.21.00x483180L,3.43.00x44f560L,1
2.16.00x63cab0L,2.18.00x5e5790L,-1
3.88.00x489522L,3.43.00x478420L,1
2.23.00x5b0288L,2.2.00xc4e5cL,-1
3.46.00x517c00L,3.92.00x57bde7L,1
2.8.00x19b6ccL,2.22.00x4ff7e0L,-1
3.33.00x8092223L,3.9.00x576e0L,1
2.16.00x4f2c50L,2.8.00x4aa70L,-1
3.48.00xbd314L,3.94.00x47d920L,1
2.3.00x140058L,2.0.00xfe854L,-1
3.46.00x4d6980L,3.56.00x15c394L,1
2.2.00x1896dcL,3.59.00x115674L,-1
3.39.00x81153d0L,3.88.00x4f94fbL,1
2.19.00x5ac368L,2.8.00x61408L,-1
3.80.00x8195d4dL,3.36.00x81997c5L,1
2.10.00xdf0e4L,2.3.00x1628a4L,-1
3.8.00x1acb4cL,3.32.00x8178334L,1
2.3.00x1161ccL,2.10.00xa5180L,-1
3.59.00x1635acL,3.34.00x816b300L,1
2.20.00x692804L,2.9.00x596b0L,-1
3.39.00x8106350L,3.5.00x4a0370L,1
3.58.00xff9dcL,2.10.00x10caecL,-1
2.23.00x4f9cecL,2.22.00x4f9cecL,1
2.21.00x4a6a90L,3.89.00x541550L,-1
2.18.00x5b6800L,2.21.00x5b6800L,1
2.16.00x5a9240L,2.16.00x5991b8L,-1
2.19.00x481e10L,2.18.00x481e10L,1
2.0.00xb67dcL,2.0.00x42f3cL,-1
2.19.00x49f4e0L,2.18.00x49f4e0L,1
2.17.00x59bef0L,2.22.00x54a280L,-1
2.19.00x4742c0L,2.18.00x4742c0L,1
2.17.00x4c7888L,2.21.00x5ff5c0L,-1
3.12.00x522c90L,3.14.00x4b0e10L,1
2.10.00x104a94L,3.50.00x115db0L,-1
3.18.00x488eecL,3.48.00x85f7cL,1
2.0.00x4c2d8L,2.9.00x77e08L,-1
3.41.00x4e4721L,3.56.00x178240L,1
3.19.00x52d13cL,2.8.00xf3b78L,-1
2.23.00x4664d0L,2.22.00x4664d0L,1
2.21.00x4b6150L,2.23.00x5f4ca0L,-1
3.59.00x19ca1cL,3.91.00x5a47d0L,1
3.2.00xf4334L,2.23.00x5e8630L,-1
2.19.00x514b70L,2.23.00x514b70L,1
2.20.00x4b53c4L,2.8.00xb0690L,-1
2.23.00x4a61e0L,2.22.00x4a61e0L,1
2.20.00x4dc9c0L,2.17.00x535b6cL,-1
3.51.00xa4904L,3.23.00x4dc8a8L,1
2.20.00x5b2338L,2.18.00x5cce58L,-1
3.35.00x80bc450L,3.93.00x46e90aL,1
2.0.00x2040f4L,2.21.00x6126c4L,-1
3.10.00xf3998L,3.45.00x4ea361L,1
2.16.00x474660L,2.0.00x13e9d0L,-1
2.18.00x4fe920L,2.22.00x4fe920L,1
2.8.00xdf964L,2.23.00x4c93e0L,-1
2.22.00x46fd9cL,2.23.00x46fd9cL,1
2.21.00x55ec04L,3.49.00x11a030L,-1
3.13.00x533f88L,3.50.00x13eab8L,1
2.23.00x5756d0L,3.3.00x1274b0L,-1
3.88.00x569b58L,3.13.00x501818L,1
3.95.00x51a9d0L,2.18.00x4f5ad0L,-1
2.18.00x472630L,2.19.00x472630L,1
2.3.00x11e8b0L,2.1.00x19e794L,-1
2.17.00x5aa5e8L,2.21.00x5aa5e8L,1
2.2.00x123614L,2.17.00x584944L,-1
2.8.00x60328L,2.11.00x60328L,1
2.20.00x52ba94L,3.59.00xbe4e8L,-1
2.0.00x5b6acL,2.2.00x5b6acL,1
2.2.00x667fcL,2.9.00x9ffacL,-1
2.23.00x49ead4L,2.22.00x49ead4L,1
2.2.00x7386cL,2.22.00x56da84L,-1
2.18.00x462bf8L,2.19.00x462bf8L,1
2.21.00x57948cL,2.17.00x611cbcL,-1
2.22.00x4a5030L,2.23.00x4a5030L,1
2.0.00x5f584L,3.45.00x4c6a5eL,-1
3.59.00x10bf30L,3.4.00x54bb6cL,1
2.20.00x5a1d24L,2.16.00x49ebc8L,-1
2.19.00x436b40L,2.18.00x436b40L,1
2.16.00x59925cL,2.1.00x13b34cL,-1
3.0.00x12c11cL,3.33.00x80f7c55L,1
2.2.00x145bf4L,2.23.00x606c98L,-1
3.84.00x818afd3L,3.12.00x59fe74L,1
2.21.00x59eb78L,2.3.00x10ed98L,-1
3.84.00x80bf9adL,3.21.00x4b09c4L,1
3.56.00x166f08L,2.10.00xb43a0L,-1
3.59.00x172480L,3.87.00x81b9090L,1
2.10.00x1874f8L,2.9.00x868c0L,-1
3.51.00xfcddcL,3.90.00x4d5e80L,1
2.9.00xd95a0L,2.10.00xb5aa8L,-1
2.18.00x4d5f78L,2.19.00x4d5f78L,1
2.8.00x2f778L,3.19.00x575b18L,-1
2.23.00x49fdc0L,2.22.00x49fdc0L,1
2.8.00x14b160L,2.23.00x5f17bcL,-1
2.18.00x472630L,2.19.00x472630L,1
2.0.00x175374L,2.9.00x133620L,-1
3.46.00x4e7260L,3.22.00x53a384L,1
2.16.00x4748a0L,2.1.00x15c590L,-1
3.16.00x63de88L,3.95.00x541390L,1
2.1.00x150a4L,2.17.00x611cbcL,-1
2.23.00x43b9c0L,2.21.00x43b9c0L,1
2.10.00x103444L,2.2.00x8d8c4L,-1
2.22.00x48121cL,2.23.00x48121cL,1
2.3.00x1339e4L,2.3.00x1161ccL,-1
3.48.00x86570L,3.47.00x462b60L,1
2.17.00x58c4bcL,2.23.00x600c20L,-1
3.56.00x14814cL,3.9.00xd8120L,1
2.10.00x7a4f4L,3.48.00x20ef98L,-1
2.0.00x1258a8L,2.8.00x1258a8L,1
2.23.00x6104fcL,2.8.00x12d754L,-1
2.22.00x561448L,2.18.00x561448L,1
3.42.00x4e5e20L,2.10.00x1949dcL,-1
3.38.00x8118130L,3.16.00x5d3374L,1
