3.9.00x106508L,3.57.00x105d04L,1
2.0.00x6b430L,2.22.00x4760bcL,-1
3.6.00x4fae44L,3.93.00x500fb2L,1
3.2.00xd5960L,2.0.00x123970L,-1
3.20.00x5571c8L,3.36.00x80fbe36L,1
3.7.00x4e0e6cL,2.9.00x78050L,-1
3.1.00x120afcL,3.2.00x114d30L,1
2.8.00x1a1ac8L,2.0.00x14600L,-1
3.38.00x817cb00L,3.91.00x57f280L,1
3.34.00x8137a90L,2.17.00x4ff934L,-1
2.0.00x116d0L,2.3.00x116d0L,1
2.22.00x5e9170L,2.1.00x122c10L,-1
3.42.00x53fbc0L,3.20.00x6b8680L,1
2.22.00x5d9ec8L,2.2.00x1986dcL,-1
3.17.00x5e4abcL,3.86.00x8185790L,1
2.16.00x54638cL,2.10.00x159ef0L,-1
3.18.00x529cfcL,3.2.00xe01acL,1
2.0.00x1aacc8L,2.9.00x112f0L,-1
3.81.00x813b7a3L,3.4.00x57ddb8L,1
3.42.00x4e5ca0L,2.1.00xdc18cL,-1
3.86.00x8108a40L,3.7.00x4e10ccL,1
2.22.00x58b498L,2.20.00x61517cL,-1
3.56.00x1a9a78L,3.88.00x563e1fL,1
2.10.00x27e88L,2.11.00xd3e7cL,-1
2.2.00xd0494L,2.3.00xd0494L,1
2.22.00x5b2208L,2.8.00x3663cL,-1
3.89.00x4ef530L,3.80.00x8132cf9L,1
2.17.00x5e1ca0L,2.16.00x5d42e8L,-1
3.34.00x81287a0L,3.59.00x11572cL,1
2.0.00x16f680L,2.10.00x10b620L,-1
3.0.00x18c640L,3.39.00x816d3b0L,1
3.36.00x812d8c1L,2.9.00x10df8cL,-1
2.18.00x481c50L,2.19.00x481c50L,1
2.8.00x7b5b8L,2.0.00x1900a4L,-1
3.22.00x5ce2c0L,3.90.00x557510L,1
2.3.00x11490L,2.16.00x5046b4L,-1
2.2.00xd4188L,2.10.00xd4188L,1
2.18.00x50c608L,3.35.00x812c5b0L,-1
3.13.00x49f2d0L,3.35.00x8104e20L,1
2.2.00x153af4L,2.3.00x98380L,-1
3.15.00x470a08L,3.41.00x474288L,1
2.9.00x167f44L,3.2.00xdc8e8L,-1
3.90.00x526300L,3.89.00x565800L,1
2.22.00x5151d0L,2.16.00x54e204L,-1
3.1.00x81f34L,3.2.00x7b54cL,1
3.5.00x462ef8L,2.22.00x464f34L,-1
3.38.00x8116320L,3.36.00x81412e5L,1
2.9.00x573c8L,2.16.00x61414cL,-1
3.81.00x80b39cbL,3.40.00x48b62fL,1
2.23.00x4629b0L,2.20.00x598574L,-1
3.81.00x80b545bL,3.0.00xaa3c0L,1
2.0.00x12efe0L,2.16.00x58c584L,-1
2.17.00x481c10L,2.21.00x481c10L,1
2.21.00x4a636cL,2.22.00x512a7cL,-1
3.0.00x13a0ccL,3.80.00x8125e2fL,1
2.8.00x43284L,2.22.00x5f3d80L,-1
3.57.00xffbdcL,3.44.00x54ac34L,1
2.18.00x565928L,2.8.00x33738L,-1
2.9.00x122290L,2.10.00x122290L,1
2.1.00xce4ccL,2.11.00x2610cL,-1
3.33.00x818c520L,3.35.00x81e2090L,1
2.18.00x547108L,3.49.00xe2a64L,-1
2.16.00x573ac0L,2.23.00x573ac0L,1
2.9.00xdcea4L,2.17.00x555430L,-1
3.58.00x14440cL,3.3.00x185eb8L,1
2.16.00x4b7c54L,2.9.00x19d25cL,-1
3.93.00x549643L,3.22.00x5cb364L,1
2.16.00x4805b0L,2.20.00x5ffa4cL,-1
3.33.00x8103086L,3.10.00xcb1b0L,1
2.22.00x5ecfb8L,3.57.00xc2ea8L,-1
3.86.00x811d0e0L,3.16.00x5e0fa8L,1
2.16.00x5b8c94L,2.3.00xe3decL,-1
2.10.00xd4188L,2.2.00xd4188L,1
2.9.00x104dbcL,2.3.00x3521cL,-1
2.23.00x474204L,2.22.00x474204L,1
2.22.00x5613e0L,2.20.00x4a9530L,-1
3.91.00x514510L,3.86.00x8125c60L,1
2.23.00x54f394L,2.23.00x607154L,-1
3.11.00xec5b0L,3.6.00x4b7bb4L,1
2.11.00x16bd34L,2.0.00x7f978L,-1
2.22.00x4760bcL,2.23.00x4760bcL,1
2.11.00x553a8L,2.22.00x519368L,-1
3.7.00x5361a0L,3.13.00x4f6140L,1
2.0.00x1c4e04L,2.19.00x5ec088L,-1
3.21.00x5b6074L,3.0.00x1d56bcL,1
2.1.00x98c44L,2.1.00xa5e5cL,-1
3.1.00xf3564L,3.13.00x4d9a70L,1
2.1.00x42d80L,2.18.00x56adacL,-1
2.19.00x4fd02cL,2.17.00x4fd02cL,1
2.16.00x4a698cL,2.21.00x574858L,-1
2.10.00x11680L,2.8.00x11680L,1
2.17.00x4a4b1cL,2.16.00x659684L,-1
2.9.00x10ff0L,2.10.00x10ff0L,1
2.10.00xd0d70L,2.0.00x1472e0L,-1
2.3.00x560b0L,2.11.00x560b0L,1
2.22.00x49f6f0L,3.94.00x4c5380L,-1
3.38.00x8126ae0L,3.8.00x175eb4L,1
2.16.00x472650L,2.16.00x5008e0L,-1
3.41.00x53f23dL,3.5.00x53f20cL,1
2.23.00x612d78L,2.17.00x5e1cb4L,-1
3.1.00x1576f8L,3.90.00x54bdb0L,1
2.3.00x1335d8L,2.20.00x53d274L,-1
2.19.00x49a020L,2.18.00x49a020L,1
2.16.00x45ce70L,2.1.00xdeef4L,-1
3.59.00xede40L,3.51.00xeba88L,1
2.10.00x11270L,2.10.00x1d1ccL,-1
3.46.00x4bf3d0L,3.1.00xceba4L,1
2.3.00x5d344L,2.11.00x194244L,-1
3.57.00xd3ed8L,3.34.00x8109d60L,1
2.11.00xdced4L,2.19.00x54ab0cL,-1
3.57.00xd4288L,3.89.00x4e9650L,1
2.0.00x10f230L,2.3.00x164bfcL,-1
3.95.00x5411b0L,3.93.00x500e5cL,1
3.16.00x5c1a20L,2.18.00x528314L,-1
3.34.00x8182620L,3.15.00x57d658L,1
2.19.00x5f2c9cL,2.0.00x11a8cL,-1
3.0.00xc2d00L,3.32.00x80d55c3L,1
2.0.00x1310c0L,2.8.00x1e09cL,-1
3.10.00x83cdcL,3.89.00x4886e0L,1
2.9.00x193b8L,2.18.00x564678L,-1
3.57.00xea40cL,3.1.00xec258L,1
2.8.00x19ef00L,2.20.00x631058L,-1
3.10.00xf8750L,3.82.00x81367d0L,1
3.40.00x522ca1L,3.58.00x9e264L,-1
3.43.00x4faf10L,3.51.00xf8268L,1
2.1.00x19b960L,3.85.00x80fca54L,-1
3.11.00xf5060L,3.50.00xcfca4L,1
2.20.00x575a64L,2.8.00x145b6cL,-1
